web-scraper-order,web-scraper-start-url,category,category-href,subcategory,subcategory-href,name
1632303724-17797,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,,https://www.officedepot.com/a/browse/shredders/Ne=100&N=5+1205526&cbxRefine=1205498/,"Fellowes Microshred 450M Micro-Cut 9-Sheet Shredder, 22-1/4""H x 13-13/16""W x 10-..."
1632300852-11447,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Paper Clips				
																				
																			
																			 
																				
																					(207)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=869848/,Swingline® GBC® TAA Compliant 22 Sheet Cross-Cut Shredder CX22-444.0 out of 5 stars. 2 reviews
1632303724-17793,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,,https://www.officedepot.com/a/browse/shredders/Ne=100&N=5+1205526&cbxRefine=1205498/,Fellowes® Powershred® 90S 17-Sheet Strip-Cut Shredder
1632309964-19260,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Projectors (201),https://www.officedepot.com/a/browse/projectors/N=5+1123281/,"$100 - $500				
																				
																			
																			 
																				
																					(43)",https://www.officedepot.com/a/browse/projectors/N=5+1123281&cbxRefine=391777/,Apollo® 16002M Closed-Head Overhead Projector
1632300467-10112,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Time Clocks (154),https://www.officedepot.com/a/browse/time-clocks/N=5+509784/,Time Cards & Badges (69),https://www.officedepot.com/a/browse/time-cards-and-badges/N=5+509786/,"Office Depot® Brand Time Cards, Biweekly, Days 1–7, 2-Sided, 3 3/8"" x 8 7/8"", Ma...4.9 out of 5 stars. 47 reviews"
1632301742-15372,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"$100 - $500				
																				
																			
																			 
																				
																					(114)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=391777/,Kensington OfficeAssist Shredder M100S Anti-Jam Cross Cut - Non-continuous Shred...2.8 out of 5 stars. 8 reviews
1632301566-14139,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"HSM				
																				
																			
																			 
																				
																					(64)",https://www.officedepot.com/a/browse/hsm-shredders/N=5+509777&cbxRefine=512804/,"HSM Shredder Lubricant, 16 Oz, Clear0.0 out of 5 stars."
1632301472-13915,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,-65,https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=391691/,"Ativa™ 1-mil Shredder Bags, 6 Gallons, Clear, Box Of 25 Bags4.0 out of 5 stars. 37 reviews"
1632300958-11748,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Staples				
																				
																			
																			 
																				
																					(236)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=869852/,"Royal® 14 Sheet Micro-Cut Shredder, Black, MC14MX4.9 out of 5 stars. 24 reviews"
1632308764-18922,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Projectors (201),https://www.officedepot.com/a/browse/projectors/N=5+1123281/,"$1000 - $10000				
																				
																			
																			 
																				
																					(88)",https://www.officedepot.com/a/browse/projectors/N=5+1123281&cbxRefine=391842/,Viewsonic LS625X 3D Ready Short Throw DLP Projector - 4:3 - White - 1024 x 768 -...
