Title,Title_URL
Nike Adults' Pro Dri-FIT 4.0 Sleeves 2-Pack                                                                                     ,https://www.academy.com/shop/pdp/nike-adults-pro-dri-fit-40-sleeves-2-pack?sku=black-white-small-medium
Game On Adults' Compression Arm Sleeve                                                                                          ,https://www.academy.com/shop/pdp/game-on-adults-compression-arm-sleeve?sku=black-one-size
adidas Boys' Squadra Shorts 7 in                                                                                                ,https://www.academy.com/shop/pdp/adidas-boys-squadra-shorts-7-in?sku=black-and-white-x-small
BCG Girls' Athletic Printed Running Shorts                                                                                      ,https://www.academy.com/shop/pdp/bcg-girls-athletic-printed-running-shorts?sku=purple-medium
Freely Women's Strappy Back Sports Bra                                                                                          ,https://www.academy.com/shop/pdp/freely-womens-strappy-back-sports-bra?sku=zephyr-large
BCG Men's Future Basketball Shorts 10 in                                                                                        ,https://www.academy.com/shop/pdp/bcg-mens-future-basketball-shorts-10-in?sku=black-x-large
BCG Girls' Solid Sports Bra                                                                                                     ,https://www.academy.com/shop/pdp/bcg-girls-solid-sports-bra-201331742?sku=black-small
Nike Women's Tempo Plus Size Running Shorts                                                                                     ,https://www.academy.com/shop/pdp/nike-womens-tempo-plus-size-running-shorts?sku=black-heather-black-black-wolf-grey-2x
Under Armour Boys' Prototype 2.0 Wordmark Shorts 8.25 in.                                                                       ,https://www.academy.com/shop/pdp/under-armour-boys-prototype-20-wordmark-shorts-825-in?sku=black-gray-large
BCG Women's Digi Turbo Racerback Tank Top                                                                                       ,https://www.academy.com/shop/pdp/bcg-womens-digi-turbo-racerback-tank-top?sku=charcoal-01-medium
BCG Boys' Essential Training Shorts                                                                                             ,https://www.academy.com/shop/pdp/bcg-boys-training-shorts?sku=navy-x-large
Nike Men's Dri-FIT Training T-shirt                                                                                             ,https://www.academy.com/shop/pdp/nike-mens-dri-fit-training-t-shirt-116595659?sku=light-game-royal-heather-x-large
Under Armour Men's UA Tech 2.0 Training Tank Top                                                                                ,https://www.academy.com/shop/pdp/under-armour-mens-ua-tech-20-training-tank-top?sku=black-xx-large
Under Armour Women's Play Up 3.0 Plus Size Shorts                                                                               ,https://www.academy.com/shop/pdp/under-armour-womens-play-up-30-plus-size-shorts?sku=black-2x
BCG Women's Digi Melange Turbo Plus Size T-shirt                                                                                ,https://www.academy.com/shop/pdp/bcg-womens-digi-melange-turbo-plus-size-t-shirt?sku=mystical-3x
Under Armour Girls' Play Up Shorts 2.5 in.                                                                                      ,https://www.academy.com/shop/pdp/under-armour-girls-play-up-shorts-25-in-126023451?sku=black-silver-large
adidas Girls' 3-Stripes Mesh Shorts                                                                                             ,https://www.academy.com/shop/pdp/adidas-girls-3-stripes-mesh-shorts?sku=adi-black-small
Nike Men's Dri-FIT Block Swoosh Training T-shirt                                                                                ,https://www.academy.com/shop/pdp/nike-mens-dri-fit-block-swoosh-training-t-shirt?sku=blue-xx-large
BCG Women’s Plus Size Tummy Control Cropped Leggings                                                                          ,https://www.academy.com/shop/pdp/bcg-women%E2%80%99s-plus-size-tummy-control-cropped-leggings?sku=black-1x
BCG Men's 2-in-1 Ultra Training Shorts                                                                                          ,https://www.academy.com/shop/pdp/bcg-mens-2-in-1-ultra-training-shorts?sku=black-large
BCG Boys' 3/4 Compression Tights                                                                                                ,https://www.academy.com/shop/pdp/bcg-boys-3-4-compression-tights?sku=black-x-large
Under Armour Women's Twisted Tech V-neck T-shirt                                                                                ,https://www.academy.com/shop/pdp/under-armour%E2%84%A2-womens-twisted-tech%E2%84%A2-v-neck-t-shirt?sku=green-medium-02-large
Freely Women's High Waist 7/8 Pocket Leggings                                                                                   ,https://www.academy.com/shop/pdp/freely-womens-high-waist-7-8-pocket-leggings?sku=black-x-large
Under Armour Men's Sportstyle Boxed T-shirt                                                                                     ,https://www.academy.com/shop/pdp/under-armour-mens-sportstyle-boxed-t-shirt?sku=academy-red-medium
