web-scraper-order,web-scraper-start-url,category,category-href,suncat,suncat-href,name
1632289537-857,https://www.officedepot.com/a/browse/software/N=5+1462054/,Finance & Legal Software,https://www.officedepot.com/a/browse/finance-and-legal-software/N=5+1462079/,Small Business Finance Software,https://www.officedepot.com/a/browse/small-business-finance-software/N=5+1462082/,Sage 50 Premium Accounting 2021 U.S. 4-User (Windows)0.0 out of 5 stars.
1632289824-1199,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Antivirus Software,https://www.officedepot.com/a/browse/antivirus-software/N=5+1462056/,"FixMeStick® Virus Removal, For 3 Devices, 1-Year Subscription, USB Flash Drive3.3 out of 5 stars. 34 reviews"
1632289634-990,https://www.officedepot.com/a/browse/software/N=5+1462054/,Editing Software,https://www.officedepot.com/a/browse/editing-software/N=5+1462071/,Audio Editing Software,https://www.officedepot.com/a/browse/audio-editing-software/N=5+1462072/,MAGIX SOUND FORGE Pro Suite (Windows)0.0 out of 5 stars.
1632289785-1124,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Backup Software,https://www.officedepot.com/a/browse/backup-software/N=5+1462057/,Stellar Repair For Outlook Professional0.0 out of 5 stars.
1632289808-1169,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Internet Security Software,https://www.officedepot.com/a/browse/internet-security-software/N=5+1462058/,"Webroot® Internet Security With Antivirus Protection 2020, For 3 PC And Mac® Dev...4.4 out of 5 stars. 1987 reviews"
1632289591-940,https://www.officedepot.com/a/browse/software/N=5+1462054/,Editing Software,https://www.officedepot.com/a/browse/editing-software/N=5+1462071/,Video Editing Software,https://www.officedepot.com/a/browse/video-editing-software/N=5+1462074/,SOUND FORGE Audio Studio 14 (Windows)0.0 out of 5 stars.
1632289634-988,https://www.officedepot.com/a/browse/software/N=5+1462054/,Editing Software,https://www.officedepot.com/a/browse/editing-software/N=5+1462071/,Audio Editing Software,https://www.officedepot.com/a/browse/audio-editing-software/N=5+1462072/,MAGIX Samplitude Pro X (Windows)0.0 out of 5 stars.
1632289537-826,https://www.officedepot.com/a/browse/software/N=5+1462054/,Finance & Legal Software,https://www.officedepot.com/a/browse/finance-and-legal-software/N=5+1462079/,Small Business Finance Software,https://www.officedepot.com/a/browse/small-business-finance-software/N=5+1462082/,"Intuit® QuickBooks® Desktop For Mac 2021, For Mac, Disc/Download0.0 out of 5 stars."
1632289413-735,https://www.officedepot.com/a/browse/software/N=5+1462054/,Graphic Design Software,https://www.officedepot.com/a/browse/graphic-design-software/N=5+1462084/,Graphic Design Software,https://www.officedepot.com/a/browse/graphic-design-software/N=5+1462087/,"Adobe® Creative Cloud Student & Teacher License, 1-Year Subscription0.0 out of 5 stars."
1632289413-736,https://www.officedepot.com/a/browse/software/N=5+1462054/,Graphic Design Software,https://www.officedepot.com/a/browse/graphic-design-software/N=5+1462084/,Graphic Design Software,https://www.officedepot.com/a/browse/graphic-design-software/N=5+1462087/,"CorelDRAW® Graphics Suite 2021, For Windows/Mac, Disc Download0.0 out of 5 stars."
1632289785-1123,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Backup Software,https://www.officedepot.com/a/browse/backup-software/N=5+1462057/,"Stellar Data Recovery Software Windows®, Professional5.0 out of 5 stars. 1 review"
1632289537-817,https://www.officedepot.com/a/browse/software/N=5+1462054/,Finance & Legal Software,https://www.officedepot.com/a/browse/finance-and-legal-software/N=5+1462079/,Small Business Finance Software,https://www.officedepot.com/a/browse/small-business-finance-software/N=5+1462082/,"QuickBooks Desktop Premier 2021, 1 Users, Download (Windows)0.0 out of 5 stars."
1632289709-1045,https://www.officedepot.com/a/browse/software/N=5+1462054/,Business Software,https://www.officedepot.com/a/browse/business-software/N=5+1462062/,Microsoft Office Software,https://www.officedepot.com/a/browse/microsoft-office-software/N=5+1462064/,Microsoft 365 Personal 15-Month4.2 out of 5 stars. 69 reviews
1632289537-818,https://www.officedepot.com/a/browse/software/N=5+1462054/,Finance & Legal Software,https://www.officedepot.com/a/browse/finance-and-legal-software/N=5+1462079/,Small Business Finance Software,https://www.officedepot.com/a/browse/small-business-finance-software/N=5+1462082/,"Intuit® QuickBooks® Desktop Premier Plus with Enhanced Payroll 2021, For 1 User,...0.0 out of 5 stars."
1632289808-1156,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Internet Security Software,https://www.officedepot.com/a/browse/internet-security-software/N=5+1462058/,Kaspersky® Total Security 3 Devices 1 Year0.0 out of 5 stars.
